FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Update_Date
,,,Afghanistan,11/3/2021 6:22,33.93911,67.709953,156307,7281,,,Afghanistan,401.5249455,4.65814071,2/11/2021
,,,Albania,11/3/2021 6:22,41.1533,20.1683,186222,2937,,,Albania,6470.98478,1.577149853,2/11/2021
,,,Algeria,11/3/2021 6:22,28.0339,1.6596,206649,5927,,,Algeria,471.2521889,2.868148406,2/11/2021
,,,Andorra,11/3/2021 6:22,42.5063,1.5218,15516,130,,,Andorra,20081.53757,0.837844805,2/11/2021
,,,Angola,11/3/2021 6:22,-11.2027,17.8739,64487,1713,,,Angola,196.2102907,2.656349342,2/11/2021
,,,Antigua and Barbuda,11/3/2021 6:22,17.0608,-61.7964,4069,102,,,Antigua and Barbuda,4155.093538,2.506758417,2/11/2021
,,,Argentina,11/3/2021 6:22,-38.4161,-63.6167,5291285,116010,,,Argentina,11707.47656,2.192473095,2/11/2021
,,,Armenia,11/3/2021 6:22,40.0691,45.0382,310629,6441,,,Armenia,10482.76984,2.073534667,2/11/2021
,,Australian Capital Territory,Australia,11/3/2021 6:22,-35.4735,149.0124,1803,13,,,"Australian Capital Territory, Australia",421.1632796,0.721020521,2/11/2021
,,New South Wales,Australia,11/3/2021 6:22,-33.8688,151.2093,75766,580,,,"New South Wales, Australia",933.3086967,0.765514875,2/11/2021
,,Northern Territory,Australia,11/3/2021 6:22,-12.4634,130.8456,225,0,,,"Northern Territory, Australia",91.61237785,0,2/11/2021
,,Queensland,Australia,11/3/2021 6:22,-27.4698,153.0251,2089,7,,,"Queensland, Australia",40.83667286,0.335088559,2/11/2021
,,South Australia,Australia,11/3/2021 6:22,-34.9285,138.6007,918,4,,,"South Australia, Australia",52.26302306,0.435729847,2/11/2021
,,Tasmania,Australia,11/3/2021 6:22,-42.8821,147.3272,237,13,,,"Tasmania, Australia",44.25770308,5.485232068,2/11/2021
,,Victoria,Australia,11/3/2021 6:22,-37.8136,144.9631,92126,1142,,,"Victoria, Australia",1389.553387,1.239606626,2/11/2021
,,Western Australia,Australia,11/3/2021 6:22,-31.9505,115.8605,1112,9,,,"Western Australia, Australia",42.27172508,0.809352518,2/11/2021
,,,Austria,11/3/2021 6:22,47.5162,14.5501,840902,11380,,,Austria,9336.716113,1.353308709,2/11/2021
,,,Azerbaijan,11/3/2021 6:22,40.1431,47.5769,534748,7132,,,Azerbaijan,5274.078019,1.333712328,2/11/2021
,,,Bahamas,11/3/2021 6:22,25.025885,-78.035889,22429,643,,,Bahamas,5703.525511,2.866824201,2/11/2021
,,,Bahrain,11/3/2021 6:22,26.0275,50.55,276917,1393,,,Bahrain,16274.08125,0.503038817,2/11/2021
,,,Bangladesh,11/3/2021 6:22,23.685,90.3563,1569982,27873,,,Bangladesh,953.2988535,1.775370673,2/11/2021
,,,Barbados,11/3/2021 6:22,13.1939,-59.5432,18459,158,,,Barbados,6423.403893,0.855951027,2/11/2021
,,,Belarus,11/3/2021 6:22,53.7098,27.9534,604037,4662,,,Belarus,6392.385231,0.771807025,2/11/2021
,,Antwerp,Belgium,11/3/2021 6:22,51.2195,4.4024,181125,0,,,"Antwerp, Belgium",9748.458815,0,2/11/2021
,,Brussels,Belgium,11/3/2021 6:22,50.8503,4.3517,182835,0,,,"Brussels, Belgium",15128.55987,0,2/11/2021
,,East Flanders,Belgium,11/3/2021 6:22,51.0362,3.7373,150993,0,,,"East Flanders, Belgium",9966.113643,0,2/11/2021
,,Flemish Brabant,Belgium,11/3/2021 6:22,50.9167,4.5833,110378,0,,,"Flemish Brabant, Belgium",9630.117565,0,2/11/2021
,,Hainaut,Belgium,11/3/2021 6:22,50.5257,4.0621,183767,0,,,"Hainaut, Belgium",13670.68851,0,2/11/2021
,,Liege,Belgium,11/3/2021 6:22,50.4496,5.8492,166293,0,,,"Liege, Belgium",15022.05978,0,2/11/2021
,,Limburg,Belgium,11/3/2021 6:22,50.9739,5.342,77247,0,,,"Limburg, Belgium",8837.844146,0,2/11/2021
,,Luxembourg,Belgium,11/3/2021 6:22,50.0547,5.4677,38047,0,,,"Luxembourg, Belgium",13366.80275,0,2/11/2021
,,Namur,Belgium,11/3/2021 6:22,50.331,4.8221,69753,0,,,"Namur, Belgium",14110.75709,0,2/11/2021
,,Unknown,Belgium,11/3/2021 6:22,,,26162,25994,,,"Unknown, Belgium",,99.35784726,2/11/2021
,,Walloon Brabant,Belgium,11/3/2021 6:22,50.4,4.35,53895,0,,,"Walloon Brabant, Belgium",13353.60098,0,2/11/2021
,,West Flanders,Belgium,11/3/2021 6:22,51.0536,3.1458,120155,0,,,"West Flanders, Belgium",10048.11858,0,2/11/2021
